,Absorption,Emission,smiles
2050,608.32465,723.904,CCCCn1c2nc(-c3ccccc3)c1-c1ccc(cc1)C(=O)C(N)=CN=C(OC)c1ccc-2cc1
3904,603.5984,691.56836,CCC(=O)c1ccc2cc(N(C)C)ccc2c1
3837,602.99414,713.9074,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C(=C(C#N)C#N)c2ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc2)cc1
4059,599.3528,641.55835,COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C
1159,598.7544,710.8716,COc1ccc(Nc2ccc3ccccc3n2)cc1
4207,598.7544,710.8716,CCOC(=O)C1=CN(c2ccccc2)C=CC1c1ccccc1
1396,597.30884,702.1105,N#Cc1ccc(C=Cc2ncc(-c3ccccc3)o2)cc1
1407,597.30884,702.1105,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12
3889,597.30884,702.1105,O=c1oc2ccccc2cc1-c1nc2ccccc2o1
2833,597.30884,702.1105,CN(C)c1ccc(C=CC=C2CCC(=Cc3ccc(N(C)C)cc3)C2=O)cc1
2575,596.5117,711.9567,Oc1ccccc1C=Nc1ccc(Cn2cncn2)cc1
3686,596.2009,697.3706,CC(=O)c1ccccc1NC#Cc1ccc(C2=CCNC(N)=C2)cc1
4050,594.8997,693.16113,COC(=O)C=Cc1ccc2ccc3cccc4ccc1c2c34
2881,594.6849,696.29504,COC(=O)c1ccc(C#Cc2ccccc2)cc1
2289,593.48724,696.7006,COC(=O)C(NC(=O)OC(C)(C)C)c1ccc2oc(-c3cc(OC)c(OC)c(OC)c3)nc2c1
3806,593.1426,702.9392,N#CC(C#N)=C(C=Cc1ccc(N(c2ccccc2)c2ccc(C=CC(=C(C#N)C#N)c3ccccc3)cc2)cc1)c1ccccc1
2170,593.1426,702.9392,O=C1NC(=O)C(C2CC(O)C(CO)O2)C=C1C#Cc1ccc2c(c1)Cc1ccccc1-2
1261,592.6981,692.36597,CCC1C=C(C#CC=C2CNC2=CO)C(=O)NC1=O
2344,592.56287,694.79065,C=C(C)C(=CCC)C=C(C#N)c1cc(C)co1
5086,591.1671,690.82806,CC=C1c2cccc(c2)C2=NC(CC)(OC)CN12
3332,590.09766,684.06433,CCCCCNc1ccc(-c2ccc(N3CCCCOCC3)cc2)cc1
4867,589.90967,685.92236,CC=CN(C=C(C)C)c1cccc(-c2cccccc3c4oc(c5c(=O)c6ccc(OCCCC)cc6oc(=CCC)nc5c23)C=4)c1
3728,588.32874,688.23987,CC(=O)c1ccc(NC(=O)c2ccc(N(C)C)cc2)cc1
1537,588.32874,688.23987,Cc1cc2c(o1)c(C)cc1ccc(=O)oc12
1532,588.32874,688.23987,CCn1c2c3c(c1=CC=CC=3)=CC(C#Cc1cc(C#Cc3ccc4c(c3)c3ccccc3n4CC)nc(OC)n1)=CC=2
4275,588.32874,688.23987,Cc1ccc(OCc2cc(=O)oc3c2ccc2ccccc23)cc1
1059,586.1649,692.6278,CCn1c2ccccc2c2cc(C#Cc3cc(C#Cc4ccc5c(c4)c4ccccc4n5CC)nc(OC)n3)ccc21
2710,586.1649,692.6278,CC1(C)CC(C=Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)=CC(=C(C#N)C#N)C1
2258,585.53485,683.27356,CN(C)c1cc(C#N)c(N(C)C)c(C#N)c1
2988,585.3672,675.6172,CCC[n+]1ccc(C=Cc2ccc(N(C)C)cc2)cc1
2789,585.2226,680.30566,COc1cc2oc3ccccc4cc5c(c-4cc3)c(=O)c(c1)c25
2702,584.56055,693.5487,COc1ccc(-c2nc(C(C)=O)c(C)[nH]2)cc1
3833,584.1184,679.50977,O=C(O)c1cc2c(ccc3ccccc32)oc1=O
4724,583.9088,693.07605,O=c1ccc(=O)c(=Nc2ccccc2O)c1=O
2933,583.45184,661.40564,CN=C1C=Cc2cc(-c3[nH]c(-c4cccc(OOC)c4)nc3-c3ccc(C)cc3)ccc21
1135,582.0444,690.1082,COc1c2ccccc2c(OC)c2c1c1ccc(C)cc1n2C
1928,582.0444,690.1082,CCN(CC)c1ccc2cc(C=C(C#N)c3nc4ccccc4o3)c(=O)oc2c1
4512,581.71356,672.7749,COc1ccc2c(CC(=O)NN)coc2c1
3346,581.20264,672.5542,COC(=O)c1nc(-c2ccccc2)oc1C
2330,580.8286,687.43365,CCN(CC)c1ccc(C=NNc2ccc(C#N)cc2)c(O)c1
2459,580.4901,691.1362,COc1cc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc(OC)c1OC
3224,580.4901,691.1362,Oc1ccccc1C=Nc1ccc(Cn2cncn2)cc1
1503,580.4901,691.1362,C=CCNc1ccc2c(ccc3oc4cc(=[N+](C)C)ccc-4nc32)c1
1469,579.5136,667.7625,C=C(C)OC(=C1C(=CC)C1N(C)C)c1ccc(OC)cc1
1091,579.385,690.6548,N#Cc1ccc(NN=Cc2ccc3ccccc3c2O)cc1
1983,579.385,690.6548,COc1ccc(OC)c(C=O)c1
3656,579.0447,673.13257,Oc1ccc(N=Cc2ccccc2Oc2ccccc2)cc1
1247,579.0447,673.13257,CN(C)c1ccc(-c2cc3ccccc3c(-c3ccc(N(C)C)cc3)n2)cc1
1384,578.8301,668.21857,COC(=O)C(Cc1ccc2oc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)nc2c1)NC(=O)OC(C)(C)C
2708,578.71936,688.3089,CCN(CC)c1ccc2c(C#N)c(C=C(C#N)c3nc4ccccc4o3)c(=O)oc2c1
1058,578.71936,688.3089,CN(N)c1ccc(C=Cc2ccc3ccccc3[n+]2C)cc1
1173,577.25073,671.5865,COC(=O)c1nc2c(OCc3ccccc3)nc(N)nc2n1Cc1ccccc1
1597,577.25073,671.5865,CCOC(=O)c1cc(C(=O)OCC)c2ccc(OC)cc2n1
4002,577.25073,671.5865,CN(C)CCNCc1c2ccccc2cc2ccccc12
2318,577.25073,671.5865,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C
1181,577.25073,671.5865,CN(C)c1ccc(C=CC=C2CCC(=Cc3ccc(N(C)C)cc3)C2=O)cc1
1653,577.19763,683.1554,CCN(CC)c1ccc2cc(C#N)c(=NC(C)=O)oc2c1
2135,576.54645,681.96063,CC(=O)c1c2c(cc3c(N(C)C)cccc13)CCC2
2046,576.43994,661.3701,CN(C)c1ccc(C=CC=C2CCC(=Cc3ccc(N(C)C)cc3)C2=O)cc1
1531,576.3493,681.86505,CN(C)c1ccc(C=CC=C2CCC(=Cc3ccc(N(C)C)cc3)C2=O)cc1
4373,576.3264,679.463,CCCCCC(=O)c1c2c(c(C(=O)CCCCC)c3c1OC1(CCCC1)O3)OC1(CCCC1)O2
1393,576.27783,680.2889,CCC(C)=O
3164,575.8427,679.09186,CN(C)c1ccc(C(=O)c2ccccc2)cc1
2432,575.8427,679.09186,COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O
3091,575.8427,679.09186,CCOC(=O)c1cc(C(=O)OCC)c2ccc(O)cc2n1
3386,575.8427,679.09186,O=c1[nH]c2ccccc2[nH]1
3905,575.8427,679.09186,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)C)cc3)nc2c1)NC(=O)OC(C)(C)C
1989,575.8427,679.09186,CN(C)c1ccc(C#Cc2ccc(C#N)cc2)cc1
1519,575.4346,689.7282,CCCCC(CC)COC(=O)C=Cc1cccc(OC)c1
841,575.4346,689.7282,COC(=O)c1ccc2c3ccc(C(=O)OC)c4c(C(=O)OC)ccc(c5ccc(C(=O)OC)c1c25)c43
1329,575.4346,689.7282,CN(C)c1ccc(C=C2N=C(c3ccccc3)OC2=O)cc1
849,575.4346,689.7282,COC(=O)c1ccc2c3ccc(C(=O)OC)c4c(C(=O)OC)ccc(c5ccc(C(=O)OC)c1c25)c43
3280,575.3812,688.08026,C=Cc1cc(C(=O)CN(C)C)c(-c2ccccc2CC)cc1O
2943,574.39984,673.83203,COc1cc2cc(C#Cc3ccc(C=C(C#N)C(=O)O)cc3)c(=O)oc2cc1OC
3029,574.1522,664.553,COC(=O)C(NC(=O)OC(C)(C)C)c1ccc2oc(-c3ccc(C#N)cc3)nc2c1
3658,574.1522,664.553,CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1
2018,574.1522,664.553,Cc1cccc(Nc2ccccc2C(=O)O)c1C
3943,574.1522,664.553,COc1ccc2cc(C(C)C(=O)O)ccc2c1
4427,574.1522,664.553,CCCC(=O)c1ccc(C=Cc2ccc(C)cc2)n1C
3205,574.1522,664.553,COc1cc(-c2cc(-c3ccc(C)cc3)nc3c(C#N)c(N4CCCC4)nc(N)c23)cc(OC)c1OC
942,573.8979,679.4691,COc1ccc(C(=O)C=C2C(=O)Nc3ccccc32)c(OC)c1
2814,573.8979,679.4691,CCN(CC)c1ccc(C=NNc2ccc(C#N)cc2)c(O)c1
2744,573.8979,679.4691,Oc1ccccc1N=Cc1ccccc1Oc1ccccc1
1551,573.8979,679.4691,COc1ccc(-c2nc(-c3ccccc3OC)[nH]c2-c2ccc(OC)cc2)cc1
1967,573.8804,675.046,COC(=O)C=Cc1ccc2ccc3cccc4ccc1c2c34
3078,573.80396,674.23175,CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2cc(N(CC)CC)ccc12
2897,573.80396,674.23175,COC(=O)C(Cc1ccc2oc(-c3ccc(N4C5=CC=CC=CC4=CC=CC=C5)cc3)nc2c1)NC(=O)OC(C)(C)C
4412,573.27295,670.73865,CCOC(=O)N=c1oc2cccc(N(C)c3ccccc3)c2cc1C#N
928,572.93225,681.08264,
1176,572.4891,675.83795,CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1
957,572.18115,675.61084,COC(C)CC1=NC(=Cc2cccc(N(C)C)c2)C(=O)N1C
958,572.18115,675.61084,c1ccc(-c2nn(-c3ccccc3)c3nc4ccc(-n5c6ccccc6c6ccccc65)cc4cc23)cc1
1639,572.18115,675.61084,CN(C)c1ccc(C=CC=Cc2ccc([N+](=O)[O-])c(O)c2)cc1
3971,572.18115,675.61084,CC(=O)c1c2c(cc3ccc(N(C)C)cc13)CCC2
1179,571.3533,671.7251,Cc1cc(O)c(C(C)C)cc1N=Cc1ccc(O)cc1
3641,571.3533,671.7251,CC(=O)Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2
4262,571.3533,671.7251,CCN(CC)c1cccc(C=O)c1
4365,571.3533,671.7251,CN(C)c1ccc(C=Cc2nc3c4ccccc4c4ccccc4c3[nH]2)cc1
2430,571.3533,671.7251,CCCN1C(=CC=CC=CC2=[N+](CCC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21
1890,571.3533,671.7251,COc1ccc(-c2nc(N)nc(C#N)c2C#N)cc1OC
2781,571.3533,671.7251,CCC(=O)NC1=C(C#N)C(c2ccc(OC)cc2)c2c(C)n[nH]c2O1
1801,571.3533,671.7251,
3073,571.3533,671.7251,O=C1C=C(Nc2ccccc2)CCC1
1837,571.2197,677.3762,CC1(C)Cc2c(c3ccccc3c3nc4c5c(c6ccccc6c4nc23)OC(C)(C)C5)O1
2038,571.2197,677.3762,N#Cc1ccc(-c2cnc3n2C(c2ccccc2)=CC=CC=C3)cc1
2543,571.2197,677.3762,Nc1ccccc1
1426,571.2197,677.3762,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
812,571.2197,677.3762,Cc1cc2ccc(-c3cccc4cccc(-c5ccc6cc(C)c(=O)oc6c5)c34)cc2oc1=O
4543,571.1626,679.31714,Cc1ccc(-n2c3ccc2-c2ccccc2C=C3)cc1
4916,571.1028,672.941,CC=CC1=C(C(C)=O)N=C1C1=CCC=C1
4862,570.8223,666.42737,CN(C)c1ccc(C=C2CCC(=Cc3ccc(C#N)cc3)C2=O)cc1
987,570.32855,672.96313,COc1ccc2c3c(cccc13)C(=O)c1ccccc1-2
3466,570.28546,676.15015,CCN(CC)c1ccc2cc3ccc(=[N+](CC)CC)cc-3oc2c1
4699,570.02936,665.5325,Cc1ccc(-c2cc3cc(c2)-c2ccnc([O-])c2C=C3)cc1
1074,570.02936,665.5325,COc1ccc(C#Cc2ccc(C#N)cc2)cc1
4067,570.02936,665.5325,COc1cc2c(cc1C=CC(=C(C#N)C#N)c1ccccc1)c1ccccc1n2C
4065,570.02936,665.5325,C#Cc1cccc2ccccc12
4626,570.02936,665.5325,Cc1ccc(C(=O)C=C2C(=O)Nc3ccccc32)cc1C
3392,570.02936,665.5325,Cc1ccccc1C(C#N)=Cc1ccc(N(C)C)cc1
3473,570.02936,665.5325,Cc1cccc2nc3c(=O)[nH]c(=O)[nH]c3nc12
4680,570.02936,665.5325,COCCOCCOCCOc1cc(C=O)c(OCCOCCOCCOC)cc1C=O
3849,569.9165,666.82654,CN(C)c1ccc2c(c1)-c1ccccc1C2=O
2103,569.6117,658.8649,C=C(C)C(C=O)=CC
3326,568.8793,665.90967,CCCCCCC(CCCCCC)N1C(=O)c2cccc3c(-c4ccccc4)ccc(c23)C1=O
1422,568.86487,649.3167,CC=C1c2cc(-c3ccc(-c4cccc(-c5ccccc5)c4)cc3)ccc2C(=O)c2c(OCC)cccc21
2413,568.74384,674.81604,COCCOc1cc(OC)ccc1C=O
2105,568.44507,672.9298,CC=CC(=CC)N(c1ccccc1)c1ccc(-c2cc3c4c-3cc(c(-c3ccccc3)c4-c3ccccc3)c3ccccc3n2)cc1
3765,568.3376,659.90967,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O
2931,568.2501,670.3471,COCCOc1ccc(OCCOC)c(C=O)c1
1936,567.6439,669.009,CC(C)c1ccc2ccc3cccc4ccc1c2c34
1114,567.6111,666.937,COC(=O)C=Cc1ccc2ccc3cccc4ccc1c2c34
1739,567.54443,655.5082,COc1ccc(C=Cc2nc(-c3ccccc3)[nH]c2C=Cc2ccccc2)cc1
1088,567.4558,660.9124,O=C(NN=Cc1ccccc1O)c1ccccc1O
3754,567.1983,672.15717,CCC1=C(C)C(=O)n2c1cc1c(C)c(CCC(=O)OC)c(C)n1c2=O
4335,567.1983,672.15717,Cc1ccc(-n2cccc2)cc1
3402,567.1983,672.15717,COc1ccc2cc3c(C)cc(=O)oc3cc2c1
1731,567.1983,672.15717,O=[N+]([O-])c1ccc(C=CC=Cc2ccccc2)cc1
3640,567.1983,672.15717,C=C1CCCC2C=C3C=C(C2)C(=CC=C2N=C(C=C2CCC)c2cc3c(C)[nH]2)N1
4455,565.7357,664.9799,CC=c1cc(N)ccc1=CC=Cc1cccc(-c2nccc(-c3cccc(O)c3)c2-c2ccccc2)c1
5057,565.5095,660.53357,CCC1=C(C)C(=O)n2c1cc1c(C)c(CCC(=O)O)c(C)n1c2=O
975,565.46954,656.5737,COc1cc(N(c2ccc(C=C(C#N)C#N)c(OC)c2)c2ccc(C=C(C#N)C#N)c(OC)c2)ccc1C=C(C#N)C#N
2913,565.39984,669.1417,Nc1ccc2c(c1)C(=O)c1ccc(N)cc1C2=O
878,565.28186,665.67377,N#Cc1ccc(C#Cc2ccc3ccc4ccc(C#Cc5ccc(C#N)cc5)c5ccc2c3c45)cc1
2301,565.28186,665.67377,CCCCN(CCCC)c1ccc(C=Cc2ccc(C#N)cc2)cc1
1996,565.28186,665.67377,CCCCC(CC)COC(=O)C=Cc1cccc(OC)c1
2562,565.28186,665.67377,COc1cccc(-c2[nH]c(=O)n3c2-c2ccccc2C3=O)c1O
3669,564.8233,668.3871,Cc1cccc2ccccc12
1586,564.529,660.5207,CN(C)c1ccc2c3c(c(=O)oc2c1)C=c1cc2c(cc1O3)=[N+](CCC(=O)O)CCC2
977,564.4965,656.14636,Cc1ccc(-c2ccc(C=Cc3cccn3C)cn2)nc1
4284,564.45526,690.15625,CCN(CC)c1ccc(-n2cccc2)cc1
1020,564.45526,690.15625,COC(=O)C(Cc1ccc2oc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)nc2c1)NC(=O)OC(C)(C)C
3590,564.2593,664.74426,O=C1c2ccccc2-c2ccc(N3CCOCC3)c3cccc1c23
1021,564.2593,664.74426,O=[N+]([O-])c1ccc(NCCN(Cc2c3ccccc3cc3ccccc23)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1
4079,564.2593,664.74426,CC1(C)CC(NCc2ccc3ccc4cccc5ccc2c3c45)CC(C)(C)N1O
3541,564.2593,664.74426,COc1ccc(C=Cc2nc3ccccc3o2)cc1
3557,564.2593,664.74426,CN(C)c1ccc2c(c1)Cc1ccccc1-2
3518,564.2354,666.06177,C(C=Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)=Cc1ccncc1
1811,564.0572,662.5362,c1ccc(-c2nc(-c3cccc4ccccc34)n3ccccc23)cc1
2936,564.0572,662.5362,CC=Cc1ccc2ccc3ccc4ccc(ccc(cc1)n4c1ccc(OCCCCCC)c(c1)c1cc(-c4ccccc4)ccc1[nH]2)C1=CC=C(C2=CC=CC=C1C(=CC)C2=CC)C3(C)C
925,564.0572,662.5362,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1
4519,563.99365,661.9193,CC(=O)c1ccc(-c2ccc(N(C)C)nc2)cc1
2732,563.9824,664.1177,CN(C)c1ccc(C(=Cc2ccc(C=O)cc2)c2ccc(N(C)C)cc2)cc1
