epoch, lr, avg_train_loss, avg_valid_loss, model_score
Epoch 1, 0.00000690, 6.28436375, 4.47386074, NA
Epoch 2, 0.00001524, 3.74061799, 3.23269677, -0.011960
Epoch 3, 0.00002801, 2.90401149, 2.55623794, NA
Epoch 4, 0.00004368, 2.33422613, 2.10775065, -0.005922
Epoch 5, 0.00006036, 1.95183945, 1.84467292, NA
Epoch 6, 0.00007603, 1.68873870, 1.63319933, -0.003785
Epoch 7, 0.00008879, 1.48618329, 1.47446513, NA
Epoch 8, 0.00009712, 1.30827188, 1.32003105, -0.003589
Epoch 9, 0.00010000, 1.14008069, 1.21453309, NA
Epoch 10, 0.00009944, 0.99609143, 1.13484323, -0.002745
Epoch 11, 0.00009777, 0.85916525, 1.09115744, NA
Epoch 12, 0.00009504, 0.75631768, 1.03329754, -0.002767
Epoch 13, 0.00009130, 0.66488701, 0.97895747, NA
Epoch 14, 0.00008664, 0.58819711, 0.95724022, -0.002746
Epoch 15, 0.00008116, 0.51845038, 0.95194167, NA
Epoch 16, 0.00007498, 0.46014604, 0.96160275, -0.002840
Epoch 17, 0.00006825, 0.41255468, 0.96911722, NA
Epoch 18, 0.00006111, 0.36653548, 0.98217428, -0.002821
Epoch 19, 0.00005372, 0.33021501, 0.99797320, NA
Epoch 20, 0.00004624, 0.29539457, 1.02075326, -0.002623
Epoch 21, 0.00003885, 0.26947340, 1.04411125, NA
Epoch 22, 0.00003171, 0.24566230, 1.05611014, -0.002217
Epoch 23, 0.00002498, 0.22753154, 1.08939934, NA
Epoch 24, 0.00001881, 0.21227476, 1.10708642, -0.002315
Epoch 25, 0.00001333, 0.19933051, 1.11047328, NA
Epoch 26, 0.00000868, 0.18946753, 1.13865685, -0.002349
Epoch 27, 0.00000494, 0.18142897, 1.15614569, NA
Epoch 28, 0.00000222, 0.17539510, 1.16015303, -0.002430
Epoch 29, 0.00000056, 0.17135763, 1.16583264, NA
Epoch 30, 0.00000000, 0.16903538, 1.16671741, -0.002495
